WeekID,Week Position,Song,Performer,SongID
1958-08-02,1,Poor Little Fool,Ricky Nelson,Poor Little FoolRicky Nelson
1958-08-09,1,Poor Little Fool,Ricky Nelson,Poor Little FoolRicky Nelson
1958-08-16,1,Nel Blu Dipinto Di Blu (Volar├®),Domenico Modugno,Nel Blu Dipinto Di Blu (Volar├®)Domenico Modugno
1958-08-23,1,Little Star,The Elegants,Little StarThe Elegants
1958-08-30,1,Nel Blu Dipinto Di Blu (Volar├®),Domenico Modugno,Nel Blu Dipinto Di Blu (Volar├®)Domenico Modugno
1958-09-06,1,Nel Blu Dipinto Di Blu (Volar├®),Domenico Modugno,Nel Blu Dipinto Di Blu (Volar├®)Domenico Modugno
1958-09-13,1,Nel Blu Dipinto Di Blu (Volar├®),Domenico Modugno,Nel Blu Dipinto Di Blu (Volar├®)Domenico Modugno
1958-09-20,1,Nel Blu Dipinto Di Blu (Volar├®),Domenico Modugno,Nel Blu Dipinto Di Blu (Volar├®)Domenico Modugno
1958-09-27,1,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards
1958-10-04,1,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards
1958-10-11,1,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards
1958-10-18,1,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards
1958-10-25,1,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards
1958-11-01,1,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards
1958-11-08,1,It's Only Make Believe,Conway Twitty,It's Only Make BelieveConway Twitty
1958-11-15,1,Tom Dooley,The Kingston Trio,Tom DooleyThe Kingston Trio
1958-11-22,1,It's Only Make Believe,Conway Twitty,It's Only Make BelieveConway Twitty
1958-11-29,1,"To Know Him, Is To Love Him",The Teddy Bears,"To Know Him, Is To Love HimThe Teddy Bears"
1958-12-06,1,"To Know Him, Is To Love Him",The Teddy Bears,"To Know Him, Is To Love HimThe Teddy Bears"
1958-12-13,1,"To Know Him, Is To Love Him",The Teddy Bears,"To Know Him, Is To Love HimThe Teddy Bears"
1958-12-20,1,The Chipmunk Song,The Chipmunks With David Seville,The Chipmunk SongThe Chipmunks With David Seville
1958-12-27,1,The Chipmunk Song,The Chipmunks With David Seville,The Chipmunk SongThe Chipmunks With David Seville
1959-01-03,1,The Chipmunk Song,The Chipmunks With David Seville,The Chipmunk SongThe Chipmunks With David Seville
1959-01-10,1,The Chipmunk Song,The Chipmunks With David Seville,The Chipmunk SongThe Chipmunks With David Seville
1959-01-17,1,Smoke Gets In Your Eyes,The Platters,Smoke Gets In Your EyesThe Platters
1959-01-24,1,Smoke Gets In Your Eyes,The Platters,Smoke Gets In Your EyesThe Platters
1959-01-31,1,Smoke Gets In Your Eyes,The Platters,Smoke Gets In Your EyesThe Platters
1959-02-07,1,Stagger Lee,Lloyd Price,Stagger LeeLloyd Price
1959-02-14,1,Stagger Lee,Lloyd Price,Stagger LeeLloyd Price
1959-02-21,1,Stagger Lee,Lloyd Price,Stagger LeeLloyd Price
1959-02-28,1,Stagger Lee,Lloyd Price,Stagger LeeLloyd Price
1959-03-07,1,Venus,Frankie Avalon,VenusFrankie Avalon
1959-03-14,1,Venus,Frankie Avalon,VenusFrankie Avalon
1959-03-21,1,Venus,Frankie Avalon,VenusFrankie Avalon
1959-03-28,1,Venus,Frankie Avalon,VenusFrankie Avalon
1959-04-04,1,Venus,Frankie Avalon,VenusFrankie Avalon
1959-04-11,1,Come Softly To Me,The Fleetwoods,Come Softly To MeThe Fleetwoods
1959-04-18,1,Come Softly To Me,The Fleetwoods,Come Softly To MeThe Fleetwoods
1959-04-25,1,Come Softly To Me,The Fleetwoods,Come Softly To MeThe Fleetwoods
1959-05-02,1,Come Softly To Me,The Fleetwoods,Come Softly To MeThe Fleetwoods
